date,value,transformation
1990-12-31,102.0,level
1991-12-31,99.1,level
1992-12-31,97.1,level
1993-12-31,94.7,level
1994-12-31,84.1,level
1995-12-31,94.1,level
1996-12-31,90.1,level
1997-12-31,85.8,level
1998-12-31,101.3,level
1999-12-31,97.3,level
2000-12-31,106.3,level
2001-12-31,101.4,level
2002-12-31,102.0,level
2003-12-31,112.2,level
2004-12-31,102.1,level
2005-12-31,106.6,level
2006-12-31,102.9,level
2007-12-31,110.3,level
2008-12-31,107.6,level
2009-12-31,99.0,level
2010-12-31,104.9,level
2011-12-31,108.6,level
2012-12-31,103.5,level
2013-12-31,100.5,level
2014-12-31,102.6,level
2015-12-31,98.5,level
2016-12-31,100.5,level
2017-12-31,105.3,level
2018-12-31,102.4,level
2019-12-31,100.6,level
2020-12-31,99.9,level
2021-12-31,105.9,level
2022-12-31,100.4,level
2023-12-31,105.35082075994168,level
2024-12-31,101.5,level
2025-12-31,102.6,level
