date,value,transformation
2023-01-01,121.6,level
2023-02-01,122.0,level
2023-03-01,119.4,level
2023-04-01,117.9,level
2023-05-01,116.8,level
2023-06-01,115.4,level
2023-07-01,114.3,level
2023-08-01,113.1,level
2023-09-01,111.3,level
2023-10-01,110.3,level
2023-11-01,109.8,level
2023-12-01,109.4,level
2024-01-01,109.1,level
2024-02-01,109.0,level
2024-03-01,108.8,level
2024-04-01,108.7,level
2024-05-01,108.4,level
2024-06-01,108.3,level
2024-07-01,108.4,level
2024-08-01,108.3,level
2024-09-01,108.3,level
2024-10-01,108.4,level
2024-11-01,108.2,level
2024-12-01,108.3,level
2025-01-01,108.7,level
2025-02-01,109.3,level
2025-03-01,109.7,level
2025-04-01,110.3,level
2025-05-01,110.8,level
2025-06-01,111.1,level
2025-07-01,111.1,level
2025-08-01,111.9,level
2025-09-01,112.5,level
2025-10-01,112.3,level
2025-11-01,112.4,level
2025-12-01,112.4,level
2026-01-01,112.5,level
2026-02-01,112.1,level
2026-03-01,111.7,level
2026-04-01,111.5,level
2026-05-01,111.3,level
2026-06-01,111.3,level
2026-07-01,111.3,level
2026-08-01,110.7,level
